stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,16.35,12.26,0,0,0,0,0,89.9,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,3.21,1.07,0,4.28,0,0,0,0,33.16,2.14,0,0,0,3.21,0,2.14,0,0,0,0,0,0
21Day,1.34,0,10.71,1.34,0,2.68,0,0,0,0,0,0,0,5.35,0,0,5.35,1.34,10.71,1.34,0,2.68,0,13.39,1.34,0,0,0,4.02,1.34,0,0,0,1.34,0,0,1.34
3Month,0,1.6,13.76,0,0.64,0,0.32,1.6,2.56,0,0,73.59,1.92,0.96,8,0.96,5.12,2.56,3.84,1.28,0.32,0.32,0.32,0.64,0.32,0.32,0.64,0,1.28,1.28,13.44,0,0,0,0.32,8.96,3.84
22Month,0,1.64,4.37,0,0,0.55,0,1.09,3.28,0.55,0,108.24,2.73,2.73,5.47,0,0.55,4.92,4.37,0.55,4.37,1.09,0,2.19,0.55,0.55,0.55,1.09,0,0,4.37,0.55,0.55,0,0,0,1.09
