stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,8.56,0,2.14,0,0,0,51.35,11.77,0,1.07,2.14,0,0,0,1.07,1.07,0,0,0
21Day,2.68,0,0,29.45,0,2.68,0,0,0,0,0,0,1.34,0,2.68,10.71,1.34,2.68,0,0,0,16.06,2.68,0,0,0,1.34,0,5.35,0,0,0,0,0
3Month,0.32,10.24,0,46.39,0.64,0,0.64,0.32,0.32,0,5.44,0.64,0.32,1.92,1.28,50.55,0.64,6.08,0.64,1.28,1.28,0.64,0.32,1.28,1.28,0,0.32,2.88,0,0,0,2.24,4.48,1.6
22Month,0,1.09,0.55,2.19,0,0,0,0,0,0.55,7.11,0,0.55,0.55,0.55,2.19,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
