stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,1.34,0,1.34,0,0,0,0
3Month,0.32,0.96,3.2,13.76,0.32,1.6,0,0.32,47.99,0.64,0,5.12,2.88,0,160.93,0.32,3.2,1.28,2.56,0.64,0,1.28,0.32,0,0,0,0,0,0.64,0.64,4.16,0,0.32,12.8,2.56
22Month,0,4.92,77.62,48.65,0,2.73,0.55,0,48.11,5.47,4.92,39.91,3.83,1.09,588.75,1.09,1.09,2.19,2.73,0.55,5.47,1.64,0,2.19,0,1.09,3.28,0.55,0.55,0,6.01,0.55,0,0,0
