stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,1.34,0,2.68,0,0,0,0,0,1.34,0,0,0,0
3Month,0,1.28,8.32,1.28,1.28,2.24,0,573.35,3.84,0,7.68,1.28,2.56,2.24,4.48,1.6,1.28,0.96,0.64,0.64,0,1.92,1.6,0,0.32,5.12,9.6,0.96,8.32,3.2
22Month,0.55,1.64,3.83,1.64,1.09,2.19,3.28,533.53,1.09,0.55,2.73,0,1.09,2.73,4.37,0,4.92,1.09,0,0.55,0,1.64,0.55,0.55,0,0,0.55,0,0.55,1.64
