stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,53.12,12.26,0,0,0,0,4.09,0,4.09,0,0,4.09,0,12.26,4.09,20.43,81.73,0,0,0,44.95,727.38,0,0,12.26,0,0,0,0,0,12.26,0,0,0
72hpf,13.91,3.21,0,14.98,4.28,6.42,0,1.07,0,0,0,0,0,0,0,0,6.42,25.67,2.14,38.51,1.07,0,0,389.4,146.56,1.07,0,35.3,2.14,0,18.19,5.35,2.14,1.07,0,0,0
21Day,26.77,0,2.68,73.62,8.03,32.12,0,17.4,0,1.34,0,0,0,1.34,32.12,2.68,9.37,24.09,4.02,108.42,0,17.4,0,255.66,82.99,4.02,4.02,36.14,6.69,1.34,20.08,12.05,21.42,1.34,0,0,8.03
3Month,0,0.96,0,8.64,0,0,0.32,0,1.28,1.28,0,0,14.4,2.56,0.32,3.52,0.32,4.16,1.92,3.2,0,0.64,0.32,0,0,0,0,0.32,1.28,9.6,0,0,0,0,0.64,2.56,3.2
22Month,0,3.83,0.55,7.65,0,0,1.09,0.55,3.83,8.75,0.55,0,107.69,2.73,3.83,10.93,0.55,1.64,4.37,11.48,3.28,2.19,0,0.55,0,0,0,0,0.55,4.37,0.55,0.55,0,0,0,0,2.19
