stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,T_cell
72hpf,2.14,1.07,0,0,0,0,0,5.35,3.21,0,0,8.56,0
21Day,0,0,0,0,0,0,0,2.68,6.69,0,4.02,8.03,0
3Month,0,0,0.96,0.32,0.32,0.96,0.96,0,0.32,0.32,0,0.32,0
22Month,0,0,4.37,0,0,1.09,0,0,0,0,0,0,0.55
