stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,6.42,0,0,0,0,0,4.28,0,0,0,0,0
21Day,0,1.34,0,0,0,4.02,0,0,0,0,0,2.68,0,1.34,0,0,4.02,0,0,0,2.68,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0,0.96,0.64,5.76,0,0,0.64,1.6,0.32,11.52,0.96,0,2.88,0.32,2.24,1.28,2.88,0,1.28,0.96,0.32,0,0.64,0.32,0,0.96,1.92,0,0,0,0.96,1.28,2.56
22Month,0,1.64,0,1.09,0,0,0,0,1.64,8.2,0,0.55,1.09,1.09,0.55,3.28,0.55,0.55,0,0,0,0,0.55,1.09,0,0.55,0.55,0,0,0,0.55,0,0.55
