stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Oocyte,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0
3Month,0,0.32,0,0.32,0.32,0,0,0,0,0,0.32
22Month,1.09,0.55,0.55,10.39,0.55,0,0.55,0.55,0,0.55,0
