stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,28.6,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,6.42,0,0,0,0,0,0,0,0,0,0,9.63,32.09,1.07,3.21,0,5.35,0,1.07,10.7,3.21,1.07,0,7.49,0,0,3.21,0,0,0,0,0
21Day,1.34,0,1.34,50.86,1.34,1.34,0,1.34,0,0,0,0,0,1.34,4.02,0,22.76,6.69,5.35,0,0,0,1.34,1.34,2.68,16.06,0,4.02,2.68,1.34,2.68,1.34,5.35,0,0,1.34
3Month,0.64,2.24,0.96,92.47,0,0,0.96,0,5.44,4.16,0.32,90.87,2.24,0,64.63,6.08,29.44,6.4,8.64,0.96,0.32,0.96,11.2,1.6,0.32,60.47,0,0.64,2.88,14.4,0,0,0,0.96,1.6,3.52
22Month,0,3.28,2.19,26.24,0.55,0,0,0,2.19,6.56,3.28,137.21,0.55,0.55,59.59,0.55,5.47,9.29,13.12,0,2.19,0,0.55,0.55,0.55,27.88,2.19,0,0,34.44,0.55,0,0,0,0,0.55
