stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,6.42,0,0,1.07,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,2.68,0,0,0
3Month,0,0.32,2.88,0,0.32,0.64,2.56,0,1.92,0.32,1.6,1.6,0,0,0,0,0,0.32,0.32,0.96
22Month,0.55,0,2.19,0.55,0.55,1.09,3.83,0.55,1.64,0.55,0,1.09,1.09,0,0,0.55,0,0,0,0
