stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,14.98,0,0,0,0,0,0,0,0,1.07,36.37,0,0,0,0,0,0,3.21,2.14,0,0,0,0
21Day,0,0,16.06,0,0,0,0,1.34,0,0,0,0,14.72,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.32,7.36,0.32,0.32,0,0,3.52,24,0.32,1.28,0,19.84,4.16,0.32,0.64,0,0.64,0.64,0.32,0,34.55,0.96,4.8,0.96
22Month,0,0,3.28,0,0,0.55,0.55,6.56,2.19,0,1.64,0,1.64,0.55,0.55,0,0.55,0,0,0,0,0.55,0,0,0
