stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,2.14,2.14,1.07,1.07,0,0,4.28,1.07,0,0,2.14,1.07,8.56,0,0,0,0
21Day,1.34,8.03,0,0,0,0,5.35,10.71,0,1.34,0,1.34,9.37,0,1.34,0,0
3Month,0,0.32,0,0,0.96,0.64,0.96,0.64,0.32,0,0,0,0.64,0.32,0.32,0.96,0.32
22Month,0,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0,0.55,0,0
