stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,13.91,0,0,0,0,0,3.21,0,0,0,0,1.07,0,0,0,2.14,5.35,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,4.02,4.02,0,14.72,0,1.34,0,1.34,0,72.28,0,0,1.34,6.69,1.34,0,0,0,9.37,1.34,0,0,1.34,2.68,0,1.34,0,1.34,0,0,60.23
3Month,0.32,8.96,6.08,0,2.56,0,0.64,7.68,0.32,8.96,5.76,12.8,2.88,1.6,3.52,10.88,6.08,0.64,0.64,0.96,0.64,0,0.96,0,0,1.92,2.88,0,0,0,0.32,0.64,215.65
22Month,0,14.21,3.28,0,0.55,0,0,10.93,0.55,8.2,13.12,4.92,0.55,0,0,15.31,3.83,0,0.55,0.55,0.55,0,0,0.55,0,1.09,0,0,0.55,0,0,0,102.77
