stage,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,1.07,1.07
21Day,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0,0.32,0.64,0.32,0,0.32,0,0,0,0,0,0
22Month,0.55,0,4.92,0,0,1.64,0.55,0.55,0,0,0,0
