stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,44.95,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,2.14,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,0,0,14.98,12.84,0,0,0,1.07,0,0,0,0,0,0,0
21Day,4.02,1.34,1.34,2.68,0,0,0,0,0,0,0,0,0,0,2.68,5.35,1.34,0,0,0,0,9.37,0,0,1.34,0,4.02,1.34,0,0,0,0,0,0
3Month,0,1.6,2.56,17.28,0.32,0,3.52,6.08,0,23.04,7.36,0.32,4.8,2.56,5.44,7.04,12.48,0.96,0,2.88,0.96,1.28,0.32,2.56,0.64,0,0.64,1.28,22.4,0.32,0.64,2.88,44.47,3.2
22Month,0.55,3.83,1.64,15.85,0,0.55,4.37,5.47,1.64,39.91,5.47,0.55,6.01,2.19,3.83,10.39,19.68,1.09,1.09,1.09,0,2.73,0.55,3.28,2.73,1.09,1.09,0,4.37,1.64,0,1.09,0,5.47
