stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,5.35,0,1.07,0,2.14,0,0,0
21Day,0,0,0,1.34,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0,0.32,8.64,0.64,0.32,0,0.64,0,4.48,0.64,0.64,0.64,0,0.32,0.96,0.64,0.32,0.64,0,0.32,0,4.16,0,0.32,140.46,0.32
22Month,0.55,0,1.64,0,0,0,0,0.55,3.28,0,0.55,0,0,0.55,0,0,0,0,0,0,0.55,4.37,0,0,1.09,0
