stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell
72hpf,0,0,1.07,2.14,0
21Day,2.68,0,0,0,0
3Month,0,0.96,0,0,0.32
