stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,16.35,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,53.12,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,5.35,0,0,0,0,0,0
21Day,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,2.68,0,0,0,5.35,0,0,6.69,0,0,0
3Month,0,1.6,0.32,0.64,0,5.76,1.28,0.32,2.88,0.32,0.96,1.28,2.56,2.88,0.32,0,0.64,0,1.28,45.11,0.32,22.08,1.6
22Month,0,0.55,0,0.55,0.55,4.37,0,0,0.55,0,0,0.55,4.37,0,0,0.55,0.55,0.55,0,22.41,0,0.55,0.55
