stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,2.14,1.07,3.21,1.07,0,0,0,0,0,1.07,7.49,0,7.49,0,0,602.29,23.54,0,0,9.63,0,1.07,4.28,0,1.07,0,0
21Day,1.34,0,1.34,5.35,0,1.34,1.34,0,0,0,1.34,0,0,5.35,2.68,10.71,0,1.34,257,14.72,4.02,1.34,4.02,2.68,0,2.68,1.34,1.34,0,0
3Month,0,1.6,0,2.24,0,0,0,0,2.24,0,0,0.64,0.64,4.16,0.32,8,0.96,0,3.84,0,0.96,0,0.32,0,1.92,0,0,0,0.32,1.92
22Month,0,0,0,0,0,0,0,0.55,3.83,1.09,0,0,0,0.55,0,2.73,0,0,5.47,0,0.55,0,0,0,21.32,0,0,0,0,0
