stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,1.07,1.07,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0
3Month,0,0.64,0.32,2.24,2.88,0,0.32,0.32,0.32,0.32
22Month,0.55,0,0,0,1.09,0.55,0,0,0,0
