stage,Granulocyte,Hepatocyte,Immune_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
72hpf,0,0,0,11.77,0,0,0
21Day,0,0,0,2.68,0,1.34,1.34
22Month,0.55,1.09,1.09,0,0.55,0,0
