stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0
3Month,0.64,0.96,0.32,0,4.16,0.96
22Month,0,1.09,0.55,0,0,0
