stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neurosecretory_cell,Pancreatic_cell
3Month,0,0,0.32,12.48,0.32,0.32,1.28,0,0,0.96
22Month,0.55,0.55,0,22.96,0,0,0,0.55,0.55,0
