stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,2.14,0,53.49,0,0,0,2.14,0,3.21,4.28,1.07,0
21Day,0,0,28.11,0,0,0,1.34,1.34,0,4.02,0,1.34
3Month,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0.55,0,0.55,0,0,0,0
