stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,1.07,0,0,2.14,0,0,0,0,1.07,8.56,0,1.07,0,0,0,3.21,2.14,0,0,3.21,0,0,0,1.07,0,0,0,0
21Day,2.68,0,0,13.39,0,1.34,0,6.69,0,1.34,18.74,0,1.34,6.69,5.35,6.69,0,1.34,0,8.03,1.34,0,0,4.02,0,0,2.68,6.69,1.34,0,0,1.34
3Month,0,0.96,0.32,3.84,0.96,0,1.28,10.24,1.92,5.12,0.96,3.52,0.32,2.88,0.96,2.56,0,0.96,0.32,0.32,0,0.64,0.64,0,0.32,0.32,0,0,0,0.64,0.64,7.04
22Month,0,2.19,0,1.64,0,0,0,22.96,15.85,1.09,0.55,4.92,0,0.55,4.37,2.73,0.55,1.09,0,0,0,0,1.64,0,0.55,0.55,0,0,0,0.55,0,1.64
