stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,20.43,237.01,4.09,0,0,0,0,0,0,0,0
72hpf,10.7,0,1.07,2.14,4.28,0,0,0,0,0,0,0,0,0,7.49,0,4.28,1.07,477.13,136.93,0,5.35,0,0,8.56,0,1.07,0,0
21Day,8.03,0,4.02,0,5.35,0,0,0,0,0,0,1.34,0,0,5.35,1.34,6.69,1.34,223.54,56.22,0,1.34,8.03,1.34,4.02,1.34,1.34,0,2.68
3Month,0,0,2.56,0.32,0,0.64,0.32,0,0,8.32,0.64,0,1.28,0,0,0.64,0.96,0,0.32,0,0.64,0.32,0.32,1.92,0,0,0,1.6,0.32
22Month,0,1.09,0.55,0,0,0.55,1.09,0.55,0,30.07,2.19,0.55,2.19,0,0.55,1.64,2.19,0,0,0,0.55,0.55,0,2.19,0,0.55,0,0,1.09
