stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,16.35,12.26,24.52,0,0,0,0,0,0,0,12.26,0,57.21,0,0,98.07,3902.52,4.09,0,0,0,0,0,0,0,8.17,0
72hpf,9.63,3.21,7.49,2.14,11.77,0,0,1.07,0,1.07,19.26,0,9.63,0,0,1004.53,614.06,0,0,13.91,0,0,22.47,7.49,3.21,1.07,0
21Day,2.68,0,8.03,0,18.74,0,1.34,0,1.34,0,4.02,1.34,6.69,1.34,1.34,200.78,139.21,0,1.34,4.02,10.71,0,20.08,38.82,111.1,1.34,1.34
3Month,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,2.24,0.32,0,0,0,0,1.6,0.32,0,0,0.32,0.64
22Month,0,0,1.64,0,0,0.55,2.73,0,0.55,0,0.55,0,0,0,0,3.83,0,0,0,0,0,3.28,1.64,34.44,0,0,0.55
