stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,1.07,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,0,9.37,5.35,0,4.02,0,0,0,2.68,4.02,10.71,1.34,0,5.35,2.68,9.37,0,0,0,0,0,2.68,0,0,0,1.34,1.34,0,1.34,0,0,4.02
3Month,0,1.92,1.28,12.48,0,0.64,0,3.52,2.56,0.32,258.2,25.6,0.96,4.16,1.6,7.04,8.32,5.76,1.6,0.96,1.28,2.56,0.96,0,1.28,0.32,0.32,3.84,3.2,0.32,0,1.6,5.44,15.68
22Month,0,4.37,0.55,10.93,0,0.55,1.64,2.73,10.93,15.31,455.91,28.43,5.47,4.37,0.55,2.73,14.76,11.48,0.55,6.01,1.09,0,1.09,0,1.64,1.09,0,1.09,3.28,0.55,0,0.55,0,15.31
