stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,4.09,0,0,0,0,0,0,0,16.35,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,14.98,4.28,1.07,0
21Day,0,0,0,0,0,0,1.34,0,4.02,0,0,0
3Month,0,0,0.32,0,0.32,0.32,0.32,0.32,0,0,0,2.24
22Month,0,0,0,0.55,0,0,0,0,0,0,0,4.92
