stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,16.35,130.76,0,12.26,0,0,0,0
72hpf,1.07,2.14,2.14,3.21,2.14,0,1.07,0,1.07,0,1.07,0,0,1.07,0,21.4,0,10.7,32.09,0,80.23,0,19.26,0,0
21Day,1.34,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,2.68,0,37.48,0,1.34,8.03,1.34,20.08,0,6.69,1.34,0
3Month,0,0.32,0.96,0,0,0.32,1.92,0,0,2.56,0,0.32,0.96,0.96,1.28,41.59,4.8,0,0.64,0.32,0.64,0.96,0.64,0,0
22Month,0,1.09,0,0,0,0.55,0.55,0.55,0,10.39,0,1.09,0,1.09,0.55,29.52,0,0,0,0,0.55,1.64,0.55,0,0.55
