stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,6.42,0,0,0,0,0,0,0,1.07,0,0,0,108.05,6.42,1.07,1.07,0,0,0,0,0
21Day,1.34,0,1.34,2.68,0,0,0,0,0,0,4.02,0,2.68,58.9,2.68,1.34,0,2.68,0,1.34,0,0
3Month,0,0.64,0.32,0,0.32,0,0.96,0,0.96,0,0.32,0,0.32,0,0,0,0,0,0.32,0,0.32,0
22Month,0,1.09,1.09,0,0,2.73,3.28,0.55,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0.55
