stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0,1.07,0,78.09,0,0,0,0,16.05,12.84,0,0,2.14,0,0,1.07,1.07,0,0
21Day,9.37,0,21.42,0,5.35,2.68,0,0,5.35,0,0,2.68,0,2.68,0,128.5,0,0,1.34,0,10.71,2.68,0,1.34,4.02,2.68,0,0,0,1.34,1.34
3Month,0,0.32,1.28,0,0,0,0.64,0,3.84,0.64,0,1.28,0.32,0.32,1.28,0.64,0.64,0,0,0.32,0.32,0,0,0,0,0,2.56,0,0,0,0.32
22Month,0,0,4.92,0,0,0,0.55,0.55,27.88,0.55,1.09,1.64,0,1.64,2.19,13.67,0,0.55,0,0,0,0,0.55,0.55,0,0,1.09,0.55,0,0,0.55
