stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,8.17,4.09,0,0,4.09,28.6,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,2.14,0,0,0,2.14,5.35,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,1.34,0,0,4.02,0,0,0,0,0
3Month,0.64,1.28,1.28,1.92,0,0,0.32,0,0.32,0.32,0,0,0,0,0.64,0,0.96
22Month,0,7.65,1.09,0.55,0,1.09,0,1.09,0,0,0.55,0.55,0,0,0.55,0.55,0.55
