stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,24.52,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,28.6,0,0,0,0,4.09,216.58,0,0,0,0,0,0,0,0,0,0,0
72hpf,97.35,0,0,1.07,1.07,2.14,0,0,0,0,0,1.07,0,0,0,1.07,5.35,1.07,32.09,0,0,2.14,0,127.31,34.23,0,4.28,0,32.09,1.07,0,1.07,0,0,0,0
21Day,70.94,1.34,0,6.69,0,0,1.34,0,0,0,0,1.34,0,4.02,2.68,0,2.68,1.34,25.43,0,0,0,0,20.08,10.71,0,25.43,0,4.02,1.34,2.68,1.34,0,0,0,2.68
3Month,6.4,1.92,0,8,0,0,0,0.32,0.96,12.16,0,11.2,7.04,2.56,2.88,2.56,1.92,9.6,21.44,1.92,0.32,1.92,0.32,0.96,0,1.6,85.11,0,0.32,0.32,14.4,0.32,0.64,1.28,1.92,7.36
22Month,0.55,7.65,0.55,7.65,0,0,0.55,0,1.09,34.44,3.28,38.27,2.73,3.28,3.28,0,1.64,14.21,12.57,1.09,0.55,3.83,0,3.28,0,0.55,79.81,1.64,0,0,16.4,1.09,0.55,1.09,0,5.47
