stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,14.98,0,0,0,4.28,4.28,22.47,1.07,0
21Day,1.34,1.34,0,0,0,0,0,0,53.54,0,0,6.69,1.34,0,12.05,0,0
3Month,0,0.32,0.32,0,1.28,0.32,0.64,0.32,10.56,9.28,0,3.2,0,0.32,0.64,0,0.32
22Month,0.55,1.64,0,1.64,2.19,3.28,0,1.09,44.83,0.55,0.55,4.37,0,1.09,0,0,0
