stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,2.68,1.34,6.69,1.34,0,1.34,0,0,0,2.68,1.34,0,0,1.34,5.35,0
3Month,0,0,0.32,0,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0.32
