stage,Epithelial_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,3.21,2.14,0,0,2.14,0,0,0,9.63,0,1.07,0,0,0
21Day,12.05,1.34,0,1.34,5.35,5.35,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,12.48,1.28,0,0.64,1.6,0,0.32,0.32,0,0,0,0,0,7.68,0.32,0.32,10.88,0.64
22Month,0.55,2.73,0.55,0,0,0,0,0,0,0,0,0.55,0,1.09,0,0,0,0
