stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,55.63,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,3.21,8.56,1.07,0,0,3.21,0,0,1.07,0,0
21Day,5.35,0,0,188.73,1.34,0,0,0,2.68,1.34,2.68,0,2.68,1.34,1.34,5.35,0,0,4.02,0,5.35,8.03,0,0,0,0,2.68,0,0,0,0
3Month,0,0,0,13.12,0,0.32,1.6,0,2.88,0.64,0,0.96,0.64,4.16,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0.32,0,2.24,0,0,0.96
22Month,0,1.09,1.64,6.56,0,1.09,4.37,1.09,37.17,2.73,0,10.39,0,0.55,2.73,3.28,0.55,2.19,1.64,0,0.55,0,1.09,0.55,1.09,0.55,0,7.11,0.55,1.09,1.64
