stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,1.07
21Day,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0.64,0,0.32,0,0.32,0.32,0,0.64,0,0.32,0,0
22Month,0,0,0,0,1.64,0,0,0,1.09,0,0.55,0
