stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,4.28,10.7,0,0,0,0,2.14,0,0,0,1.07,0,4.28,16.05,7.49,13.91,0,0,2.14,0,58.84,28.88,1.07,1.07,9.63,1.07,0,4.28,0,0,0,0
21Day,0,0,0,17.4,24.09,0,1.34,0,0,4.02,0,1.34,0,10.71,0,0,5.35,17.4,10.71,0,0,2.68,0,18.74,4.02,1.34,1.34,6.69,1.34,2.68,1.34,2.68,0,0,9.37
3Month,0.64,23.04,0.96,68.15,0,1.92,1.6,0.32,12.8,33.27,0,56.31,16.96,3.84,17.28,5.44,31.36,40.95,21.44,2.24,0.64,25.6,6.4,1.6,0.32,11.84,2.88,0.96,1.6,59.19,1.28,0.64,10.24,15.36,37.75
22Month,0.55,3.83,0,4.37,0,0,0.55,0,2.19,13.12,5.47,19.13,2.19,0,3.28,0,2.73,12.03,2.19,0.55,1.64,1.64,0,0,0.55,1.64,0,0,0,8.2,2.73,0,0,0,6.01
