stage,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,1.07,4.28,0
21Day,0,0,0,14.72,0
3Month,0,0.64,0,0,0
22Month,1.09,0,0,0,0
