stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,44.95,28.6,8.17,0,0,0,0,0,0,0,0,0
72hpf,60.98,10.7,0,28.88,7.49,54.56,0,0,1.07,0,0,0,1.07,0,16.05,92,21.4,49.21,0,4.28,4.28,8267.35,154.05,2.14,70.61,73.82,0,1.07,35.3,46,3.21,8.56,0
21Day,32.12,1.34,1.34,41.49,1.34,68.27,4.02,2.68,2.68,0,2.68,0,12.05,25.43,8.03,34.8,16.06,46.85,0,0,10.71,2792.18,41.49,8.03,54.88,33.46,61.57,2.68,12.05,117.79,61.57,2.68,12.05
3Month,0,0,0,2.56,0,0,0.32,0.96,0.64,0,4.16,1.6,0.96,1.92,0.32,0.96,0.96,3.2,0,0,0.32,35.83,0.64,11.84,1.6,0,0.32,2.24,0.32,0.32,0,0,0.32
22Month,1.09,0,0,0.55,0,0,0,1.09,3.28,1.09,19.13,1.09,0.55,1.64,0,0,1.09,4.37,0.55,2.73,0.55,51.39,0.55,7.65,9.84,0,1.09,12.03,3.28,55.76,0,0,1.09
