stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,0,0,0,0,0,0,0,1.07,66.33,0,1.07,0,3.21,5.35,1.07,0,1.07,0,0,0,0,0
21Day,0,0,8.03,0,1.34,0,0,0,0,1.34,0,1.34,16.06,2.68,0,0,2.68,1.34,0,0,0,0,0,0,0,9.37
3Month,0,0.64,21.76,0.64,0.32,0.32,1.28,0.96,0.32,0.96,1.28,1.6,1.92,1.92,2.24,0.32,0.96,0,0,0.32,0,0.32,15.36,0.64,2.24,53.75
22Month,0,0,2.73,0,0,0,0.55,1.64,0,0,0,0.55,1.09,0,1.64,0,0,0,1.09,0,0,0,4.37,0,0,13.67
