stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,38.82,1.34,0,1.34,0,0,0,1.34,0,0,0,4.02
3Month,0.32,0.32,0.96,48.63,0,0.64,15.04,0.32,0,3.2,0.96,0,53.75,2.24,3.2,20.8,0.96,0.32,0.64,1.6,0,2.56,0.96,0,0.32,0,3.2
22Month,0,2.19,1.09,23.51,0,0,17.49,0,0.55,18.04,0.55,0,41.55,0.55,1.09,4.92,1.64,0,0.55,0,0.55,0.55,0,1.09,0,0.55,2.73
