stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,1.07,1.07,0,1.07
21Day,2.68,0,0,0,0,0,1.34,0
22Month,1.09,0.55,1.64,0.55,0,0,0,0
