stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,138.94,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,32.09,1.07,0,0,0,0,0,0,0,0,0,2.14,0,9.63,0,2.14,2.14,0,0,0,3.21,0,0,0,0,0,0,0
21Day,1.34,0,0,36.14,1.34,0,1.34,0,0,0,0,2.68,0,0,4.02,0,56.22,1.34,0,1.34,0,1.34,0,30.79,5.35,0,0,0,0,0,0
3Month,0.32,0.64,0.32,54.71,0,0.64,0.32,0.96,2.56,7.36,2.24,0.96,1.6,1.28,56.31,2.24,15.68,104.3,2.24,0.96,0,0.32,0,2.24,1.28,2.24,0.32,0,0.32,0.96,0.96
22Month,0,0,0,8.75,0,0.55,0,0,2.73,15.31,0,1.09,3.28,0,7.65,0.55,20.23,16.95,0.55,1.09,0,0,0.55,1.09,0.55,3.83,0,0.55,0,0,0.55
