stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,53.12,0,8.17,0,0,0,4.09,0,0
72hpf,2.14,1.07,1.07,1.07,0,0,0,0,0,0,0,3.21,0,5.35,1.07,0,35.3,22.47,0,1.07,0,0,3.21,1.07,0,0
21Day,2.68,0,5.35,1.34,1.34,0,1.34,0,5.35,0,1.34,1.34,0,5.35,0,0,17.4,5.35,1.34,1.34,2.68,0,2.68,0,0,0
3Month,0,0,0.64,0,0,0,1.92,0,0,1.28,0,1.28,0.32,1.28,0,0.64,0,0,0.32,0,0.32,1.28,0,0,4.48,0.32
22Month,0,0,0.55,0,0,1.09,6.56,0.55,0,0.55,0,1.09,1.64,0,0,0,0,0,1.09,0,0,0.55,0,0,0.55,0.55
