stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,2.14,0,0,0,131.58,26.74,2.14,0,2.14,0,0,6.42,0,0,0,0
21Day,0,0,0,0,1.34,1.34,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0,2.68,0,49.53,17.4,2.68,0,0,0,4.02,8.03,1.34,0,0,0
3Month,0.32,0.96,0.96,7.36,0,0,0.32,2.24,1.6,0.96,10.24,7.68,0.32,2.56,0.64,1.6,1.6,3.2,0.64,0.96,0.64,4.8,0.64,4.8,0.32,0,2.24,28.48,0.64,0,0.32,417.53,1.6
22Month,0,0,0,0.55,0,0,0,0,0.55,0,3.28,0.55,0,3.28,0,0,0,1.64,0,0,0,1.09,0,3.28,0.55,0,0,4.92,0.55,0,0,1.09,0
