stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,4.02,1.34,0,0,0,0,0
3Month,0.32,0,1.28,0.32,0.64,6.08,0.32,1.92,0.64,0.64,0.32,0.96,0.32,0.64,0.64,0.32,0,0.32,0.32,2.24,0.32,0.64
22Month,0,0.55,0.55,0,0,6.01,0,2.73,0,0,0.55,0,0,0,0,0,0,0,0,1.09,0,0
