stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,482.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,2.14,0,0,53.49,0,0,0,0,0,0,0,0,112.33,0,0,0,0,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,2.68,0,0,112.44,0,0,0,0,2.68,0,0,0,62.91,0,0,0,0,0,6.69,0,0,0,0,0,0,0,1.34,16.06,0,0,0,1.34
3Month,1.92,4.16,0.32,14.08,0.96,0,7.36,3.84,1429.85,0,0,16.64,8.96,0.32,7.04,5.12,3.2,91.19,7.68,0.64,0.32,1.6,3.52,0,2.24,1.6,0,0.32,10.24,4.48,0,0,0,0.32,3.52,6.4,5.76
22Month,0,3.83,0.55,6.01,0,0,15.31,2.73,2324.38,1.64,0,41,10.39,0.55,3.83,0.55,1.64,283.71,2.73,0,1.64,0.55,0,1.64,1.64,1.09,2.19,0,4.92,1.09,2.19,2.19,0,0,0.55,0,3.28
