stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,12.26,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,69.47,0,0,0,4.09,568.01,0,0,0,12.26,0,0,0,0,0,8.17,0,0
72hpf,8.56,1.07,0,4.28,2.14,6.42,0,1.07,0,0,0,0,0,0,0,0,1.07,7.49,0,13.91,0,0,8.56,482.48,88.79,0,0,0,9.63,0,0,14.98,0,0,2.14,0,0
21Day,45.51,1.34,0,10.71,10.71,12.05,0,1.34,0,1.34,0,0,0,0,2.68,2.68,0,2.68,1.34,72.28,0,0,9.37,270.38,12.05,0,1.34,0,17.4,14.72,0,2.68,2.68,2.68,4.02,0,2.68
3Month,0.32,0,0.32,6.08,0.32,0,0,0.32,0.96,0,1.28,0,7.36,0.32,0.32,0.64,0.64,1.6,0.32,32.95,8.96,0,0.64,1.92,0,0.64,0,0,0,0.64,0.64,0.32,0,0,0.32,0.32,0.64
22Month,0,0.55,1.09,1.64,0,0,0.55,0,0.55,0,1.64,0.55,30.07,1.09,1.09,1.64,0,1.09,2.73,13.67,0,0.55,0,6.01,0,0,0,0.55,0,0,4.92,0.55,0.55,0,0,0,1.09
