stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,2.68,0,0
3Month,0.32,0,0,0.96,0.32,0.32,0,0.32,0,0,0,0.32,0
22Month,0.55,0,0.55,8.2,0.55,0.55,1.09,0,0.55,0.55,0,0,0.55
