stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,4.09,0,0,4.09,0,0,0,0,0,24.52,8.17,0,0,0,0,20.43,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,6.42,0,1.07,0,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,2.68,5.35,0,0,0,0,4.02,4.02,0,1.34,0,0,0
3Month,0,1.6,1.28,0,2.24,0,5.76,2.24,0.32,0.32,0.32,2.56,2.56,0.64,0.64,0.32,0.32,0,0,5.12,0,0.64,1.28,0.64
22Month,0,0,0,0,0.55,0,3.28,0,0,0,0,1.64,0.55,0,0,0,0,0,0.55,0,0,0,0,0
