stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.64,0.32,39.67,2.24,1.6,0.96,3.52,0.96,0.64,0,1.28,0.64,1.28,0.96,0,0.32,0,0.32,1.6,1.28,0.96
22Month,0,0,9.84,1.09,1.09,0,1.09,0,2.19,0,0,0,0,0,0.55,0,0,0,0,0,0
