stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,0,0,0,0,0,1.34,4.02,0,1.34,0
3Month,0,0,0.64,0,0.32,0.32,0.32,0,0,0,0,0,0.96
22Month,0,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0
