stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,1.07,4.28,0,0,18.19,10.7,0,0,0,0,1.07,2.14,0,0,0
21Day,6.69,0,0,4.02,0,4.02,0,0,1.34,0,0,2.68,0,0,1.34,0,9.37,0,0,6.69,4.02,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.64,0,9.28,0,0,0.32,1.6,1.6,7.36,1.28,0.96,3.2,0.32,5.44,1.6,2.88,0.32,0.64,0.32,0.32,0.64,0,0,9.28,0,0.32,0.64,39.67,1.6
22Month,0,1.09,0.55,1.64,0,0,0,0,0.55,12.03,0,0,0,0,0.55,0,3.28,0,0,0,0,0.55,0,0,1.09,0,0,0.55,0,0.55
