stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,69.54,0,0,0,2.14,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,8.03,0,0,52.2,26.77,0,1.34,0,0,0,1.34,0,95.04,0,5.35,388.17,5.35,24.09,0,1.34,1.34,18.74,14.72,0,0,0,13.39,22.76,0,2.68,2.68,2.68,1.34,0,0,729.5
3Month,0,0.96,0,39.03,0,0.96,0,1.6,7.68,0,13.76,11.52,0.32,3.84,0.96,33.59,2.56,7.68,0.96,0,1.6,0.96,0,0.64,0,0,0.32,4.16,2.56,0,0,0,0.32,3.52,2.24,530.8
22Month,1.09,1.64,0.55,33.89,0,1.09,0,0.55,8.75,1.09,20.23,0.55,2.19,2.73,0.55,42.09,8.75,2.19,0.55,1.09,0,2.19,0.55,0.55,0.55,0.55,0,1.09,0,1.09,1.64,0,0,0,0,275.51
