stage,Epithelial_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,24.52,0,73.56,0
72hpf,0,0,0,0,1.07,1.07,1.07
21Day,0,0,0,1.34,0,0,0
22Month,0.55,0.55,1.09,0,0,0,0
