stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,8.17,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,0,3.21,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,0,19.26,8.56,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,17.4,0,5.35,0,4.02,0,0,0,0,0,0,0,1.34,2.68,1.34,2.68,0,0,0,2.68,0,0,1.34,1.34,4.02,0,4.02,4.02,0,0,1.34
3Month,6.4,0,1.6,0.32,0,0,1.28,0,3.52,1.92,0.32,1.28,0.32,1.28,0.64,8.96,0.32,1.92,0,0,0,0,0,0.32,36.79,0,0,0,7.36,8.32,0
22Month,1.64,0.55,0,0,0,0.55,1.64,15.85,8.75,0,2.19,1.09,0,0,0.55,12.57,0,0,0,0,0.55,1.09,0,0,57.4,0.55,9.84,0,0,0,0
