stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,24.52,4.09,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,118.75,1.07,8.56,1.07,7.49,0,0,0,0,0,1.07,20.33,2.14,29.95,0,1.07,0,11.77,697.5,34.23,0,1.07,29.95,0,0,2.14,1.07,1.07,8.56,0,0,0
21Day,14.72,0,2.68,2.68,5.35,0,0,0,0,0,0,5.35,0,26.77,0,0,2.68,0,89.68,5.35,1.34,0,5.35,10.71,1.34,1.34,0,1.34,0,1.34,0,2.68
3Month,0.96,0.32,2.88,0,0,0.32,0.96,1.92,0.32,1.28,0.32,0.96,1.28,11.2,3.2,0,0.96,0,0.32,0,1.28,0.32,0.64,0.32,1.92,0.64,0,0,0,0,0.32,0.32
22Month,0,0.55,2.73,0,0,0,7.11,7.11,0,0.55,0,0,0.55,4.37,0.55,0,0.55,0,0.55,0,4.37,0,0,0,0.55,0.55,0,0,0,0.55,0,0
