stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,14.98,2.14,0,0,0
21Day,4.02,0,0,0,0,0,1.34,0,0,0,14.72,1.34,0,1.34,1.34
3Month,1.28,0.32,0,0.96,0,0.32,0.32,0,0.32,0.32,0,0,0.32,0,0
22Month,1.09,0,1.09,12.03,0.55,0.55,1.09,1.64,2.19,0,0,0,0,0,0
