stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,4.09,0,12.26,0,0,4.09,0,0
72hpf,0,0,0,1.07,0,0,0,2.14,20.33,8.56,0,2.14,0,0,0
21Day,1.34,0,4.02,1.34,0,0,0,6.69,12.05,5.35,6.69,1.34,1.34,0,0
3Month,0,0,0.32,0,0.32,0.32,0.32,0,0,0,0,0,0,0.32,0.64
22Month,0,0.55,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0
