stage,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,8.17,0,12.26,0,0,0,0,0,0,28.6,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,32.09,1.07,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,12.05,2.68,2.68,0,0,0,0
3Month,1.28,0.32,0,0.32,0.64,0,0.32,0.32,0,0,0.64,0,0.96,0.32,7.68
22Month,0,0,0,2.19,0.55,0,0,0,0,0,0,0,0,0,0
