stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,3.21,0,0,7.49,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,6.69,1.34,0,0,1.34,2.68,0,0
3Month,0.32,0,0.96,0,0,0.64,0,2.56,0.32,0.32,0,0.96,0.64,0.32,0,0,0,0,0.96,3.2,0,0,0.32,1.6
22Month,0.55,0.55,2.19,0,0.55,0,0.55,31.71,0,2.19,0,0,0.55,1.64,0.55,1.64,0,0,0,0.55,0,0,0,0
